dt_referencia;no_indice;nu_indice;var_diaria_perc;var_mensal_perc;var_anual_perc;var_ult_12_meses_perc;var_ult_24_meses_perc;peso_perc;duration_du;carteira_mercado_reais_mil;nu_operacoes;qt_negociada_1000_tit;vr_negociado_reais_mil;pmr;convexidade;yield;redemption_yield
2017-05-31;IRF-M 1+;10.906,073796000000;0,3122;0,0925;7,3498;19,4749;36,8838;27,12;744.0;842.568.641;150;8.640,41;7.423.065,88;1.15;12,8624;9,9509;10,2045
2017-05-31;IMA-S;3.941,187288000000;0,0467;0,9528;4,8569;13,2455;28,9936;31,23;1.0;970.316.280;203;65,16;575.947,54;1.0;0,0000;--;--
2017-05-31;IMA-C;5.065,210207000000;0,0784;-1,8121;3,6876;6,8778;27,6639;3,43;1.5;106.682.493;--;--;--;2.4530000000000003;57,5191;5,7760;5,5454
2017-05-31;IMA-GERAL ex-C;4.454,667106000000;0,1976;0,0786;5,7599;15,6951;31,7690;96,57;819.0;3.000.580.868;944;14.620,66;19.353.793,65;1.4480000000000002;40,6007;--;--
2017-05-31;IMA-GERAL;4.480,979525000000;0,1935;0,0126;5,6898;15,3578;31,6370;100,00;842.0;3.107.263.361;944;14.620,66;19.353.793,65;1.483;41,1815;--;--
2017-05-31;IMA-B;5.129,411310000000;0,2987;-1,1882;5,2829;15,3200;31,7105;28,75;2.0069999999999997;893.380.420;552;2.638,49;8.157.551,05;3.719;124,0168;5,4609;5,5553
2017-06-01;IRF-M 1;9.305,031725000000;-0,0179;-0,0179;5,2949;13,5877;30,4413;9,50;120.0;294.262.983;56;4.505,40;4.408.939,82;177.0;0,6507;9,6079;9,4254
2017-06-01;IMA-S;3.943,071096000000;0,0478;0,0478;4,9071;13,2408;28,9920;31,33;1.0;970.780.071;176;60,00;530.661,08;1.0;0,0000;--;--
2017-06-01;IRF-M 1+;10.868,448417000000;-0,3450;-0,3450;6,9794;18,7653;36,5791;27,10;742.0;839.661.823;143;6.335,84;5.607.367,65;1.148;12,7915;10,1106;10,3476
2017-06-01;IMA-B;5.096,538465000000;-0,6409;-0,6409;4,6082;14,2537;30,9571;28,65;1.993;887.655.016;826;2.481,22;7.667.662,96;3.708;122,4033;5,5684;5,6463
2017-06-01;IMA-B 5+;5.897,038127000000;-0,8051;-0,8051;4,7062;16,0612;32,1816;19,30;2.641;597.904.794;302;1.031,27;3.218.516,88;5.037;176,8925;5,6711;5,6700
2017-06-01;IMA-GERAL;4.468,541127000000;-0,2776;-0,2776;5,3964;14,8286;31,3250;100,00;835.0;3.098.638.154;1.201;13.382,47;18.214.631,50;1.475;40,5560;--;--
2017-06-01;IMA-C;5.046,017519000000;-0,3789;-0,3789;3,2948;6,2772;27,2136;3,43;1.496;106.278.260;--;--;--;2.451;57,2518;5,8460;5,6091
2017-06-01;IRF-M;10.087,762639000000;-0,2603;-0,2603;6,5230;17,1429;34,3692;36,59;581.0;1.133.924.806;199;10.841,24;10.016.307,47;896.0;9,6408;9,9801;10,2980
2017-06-01;IMA-GERAL ex-C;4.442,462234000000;-0,2740;-0,2740;5,4701;15,1687;31,4623;96,57;812.0;2.992.359.893;1.201;13.382,47;18.214.631,50;1.44;39,9631;--;--
2017-06-01;IMA-B 5;4.824,904039000000;-0,3002;-0,3002;4,6061;11,8452;30,8948;9,35;656.0;289.750.222;652;2.059,82;6.341.075,24;967.0;9,9636;5,3565;5,4492
2017-06-02;IMA-B 5;4.822,632980000000;-0,0471;-0,3471;4,5569;11,5572;30,9490;9,23;655.0;289.613.838;753;2.121,34;6.512.235,16;966.0;9,9305;5,3902;5,4852
2017-06-02;IRF-M 1;9.307,529536000000;0,0268;0,0090;5,3232;13,5599;30,4331;9,48;119.0;297.546.807;54;3.102,15;2.991.963,59;176.0;0,6441;9,6241;9,4467
2017-06-02;IMA-GERAL;4.462,435681000000;-0,1366;-0,4138;5,2524;14,3780;31,3423;100,00;825.0;3.137.502.569;1.481;14.119,52;21.256.413,43;1.459;39,6088;--;--
2017-06-02;IRF-M;10.078,723292000000;-0,0896;-0,3497;6,4275;16,7146;34,3898;37,19;582.0;1.166.768.369;296;11.071,68;9.688.113,65;899.0;9,6493;10,0295;10,3580
2017-06-02;IRF-M 1+;10.854,383829000000;-0,1294;-0,4740;6,8410;18,1514;36,6557;27,70;740.0;869.221.561;242;7.969,53;6.696.150,06;1.146;12,7319;10,1683;10,4083
2017-06-02;IMA-GERAL ex-C;4.436,569957000000;-0,1326;-0,4063;5,3302;14,7274;31,4773;96,62;802.0;3.031.491.134;1.481;14.119,52;21.256.413,43;1.425;38,9999;--;--
2017-06-02;IMA-C;5.033,363313000000;-0,2508;-0,6287;3,0357;5,6032;27,2538;3,38;1.492;106.011.435;--;--;--;2.448;57,0196;5,8911;5,6575
